course_id,title,platform,provider,level,duration,rating,skills,price
474,Climate Change and Sustainable Investing,Coursera,EDHEC Business School,Beginner,450.0,4.7,"['"" Financial Analysis""', '"" Financial Accounting""}', '"" Investment Management""', '{"" Finance""', '"" Leadership and Management""', '"" Risk Management""', '"" Banking""']",0.0
475,Go Beyond the Numbers: Translate Data into Insights,Coursera,Google,Advanced,150.0,4.7,"['"" Exploratory Data Analysis""', '{"" Data Analysis""', '"" Python Programming""', '"" Tableau Software""}']",0.0
476,"Modern Robotics:  Mechanics, Planning, and Control",Coursera,Northwestern University,Intermediate,450.0,4.7,"['"" Linear Algebra""', '"" Python Programming""', '"" Geometry""', '"" Problem Solving""', '"" Algebra""', '"" Graph Theory""', '"" Planning""', '"" Critical Thinking""', '"" Supply Chain and Logistics""}', '"" Computer Programming Tools""', '"" Algorithms""', '"" Computer Programming""', '"" Differential Equations""', '"" Matlab""', '"" Spatial Analysis""', '{"" Mathematics""', '"" Mathematical Theory & Analysis""']",0.0
477,Epidemiology in Public Health Practice,Coursera,Johns Hopkins University,Beginner,450.0,4.7,"['"" Problem Solving""', '"" Data Visualization""', '{"" Epidemiology""', '"" Data Analysis""', '"" Estimation""}']",0.0
478,Introduction to Large Language Models,Coursera,Google Cloud,Beginner,35.0,4.2,"['{""(168 reviews)""}']",0.0
479,Excel to MySQL: Analytic Techniques for Business,Coursera,Duke University,Beginner,450.0,4.6,"['"" Regression""', '"" Financial Analysis""', '{"" Business Analysis""', '"" Big Data""', '"" Data Visualization""}', '"" Database Theory""', '"" Linear Algebra""', '"" Spreadsheet Software""', '"" Tableau Software""', '"" Load""', '"" Databases""', '"" Cost Accounting""', '"" Data Analysis""', '"" Data Model""', '"" Exploratory Data Analysis""', '"" Statistical Analysis""', '"" Problem Solving""', '"" Probability & Statistics""', '"" Data Management""', '"" SQL""', '"" Extract""', '"" Mathematical Theory & Analysis""', '"" Data Analysis Software""', '"" Data Structures""', '"" Statistical Tests""', '"" Mathematics""', '"" Microsoft Excel""', '"" General Statistics""', '"" Data Visualization Software""', '"" Transform""']",0.0
480,Site Reliability Engineering: Measuring and Managing Reliability,Coursera,Google Cloud,Intermediate,150.0,4.5,"['{"" DevOps""', '"" Performance Management""', '"" Decision Making""', '"" Problem Solving""', '"" Strategy and Operations""', '"" User Experience""', '"" Software Engineering""', '"" Leadership and Management""', '"" Operational Analysis""', '"" Cloud Engineering""}']",0.0
481,Emotional Intelligence: Cultivating Immensely Human Interactions,Coursera,University of Michigan,Intermediate,35.0,4.7,"['"" Leadership and Management""}', '{"" Communication""', '"" Emotional Intelligence""']",0.0
482,Learn English: Beginning Grammar,Coursera,"University of California, Irvine",Beginner,150.0,4.9,"['"" Communication""}', '{"" Writing""']",0.0
483,"Songwriting: Writing, Arranging, and Producing Music",Coursera,Berklee,Beginner,450.0,4.8,"['{"" Writing""}']",0.0
