Link to course,subject ,Category link,Mode,Name,About,Price,Offered By,Duration,Availability
https://pll.harvard.edu/course/benefit-cost-analysis-valuing-life-and-health-0,Health & Medicine,https://pll.harvard.edu/subject/health-medicine,Online,Benefit-Cost Analysis: Valuing Life and Health,"Learn directly from one of Harvard’s experts on benefit-cost analysis, the advantages and limitations of this method, improving your ability to evaluate, interpret, and use the results.",$600,Harvard Kennedy School,Self-paced,NA
https://pll.harvard.edu/course/women-leaders-advancing-together,Business,https://pll.harvard.edu/subject/business,Blended,Women Leaders: Advancing Together,"An executive leadership program for rising women leaders and senior managers to collaborate, mentor, and advance.","$6,450",Harvard Kennedy School,Self-paced,Starts Sep 16
https://pll.harvard.edu/course/international-real-estate-strategies-and-deal-negotiation-0,Business,https://pll.harvard.edu/subject/business,In-Person,International Real Estate Strategies and Deal Negotiation,"Learn the ins and outs of the real estate cycle – and to how to take advantage of expansions, recessions, and inflationary periods.","$3,700 - $4,100",Harvard Kennedy School,4 days long,NA
https://pll.harvard.edu/course/principles-critical-care-medicine-non-intensive-care-specialists-0,Health & Medicine,https://pll.harvard.edu/subject/health-medicine,Online Live,Principles of Critical Care Medicine for Non-Intensive Care Specialists,MASTER THE SKILLS YOU NEED TO PRACTICE MODERN CRITICAL CARE MEDICINE,$200 - $995,Harvard Kennedy School,Self-paced,Starts Sep 17
https://pll.harvard.edu/course/economics-managers,Business,https://pll.harvard.edu/subject/business,Online,Economics for Managers,"This course from Harvard Business School (HBS) Online will teach you how to approach pricing strategy, evaluate market demand, and differentiate offerings, so you can drive critical business decisions and successfully compete in the marketplace.","$1,850",Harvard Kennedy School,8 weeks long,NA
https://pll.harvard.edu/course/negotiation-mastery,Business,https://pll.harvard.edu/subject/business,Online,Negotiation Mastery,"Hone your negotiation skills to close deals, maximize value in the agreements you reach, and resolve differences before they escalate into costly conflicts in this online course from Harvard Business School (HBS) Online.","$1,850",Harvard Kennedy School,8 weeks long,NA
https://pll.harvard.edu/course/health-care-strategy,Business,https://pll.harvard.edu/subject/business,Online,Health Care Strategy,Combine the best business strategies with the fundamentals of the health care sector.,"$1,600",Harvard Kennedy School,5 weeks long,NA
https://pll.harvard.edu/course/financial-analysis-and-valuation-lawyers,Social Sciences,https://pll.harvard.edu/subject/social-sciences,Online,Financial Analysis and Valuation for Lawyers,"Taught by Harvard Law School faculty, Financial Analysis and Valuation for Lawyers is a Harvard Online course designed to help you navigate your organization or client’s financial goals while increasing profitability and minimizing risks.","$1,600",Harvard Kennedy School,6 weeks long,NA
https://pll.harvard.edu/course/universal-design-learning-explore,Education & Teaching,https://pll.harvard.edu/subject/education-teaching,Online,Universal Design for Learning: Explore,"Develop a deeper understanding of Universal Design for Learning (UDL) to design learning environments for engaging, meaningful experiences for all students.",$295,Harvard Kennedy School,3 weeks long,NA
https://pll.harvard.edu/course/harvard-bok-higher-education-teaching-certificate,Education & Teaching,https://pll.harvard.edu/subject/education-teaching,Online,Harvard Bok Higher Education Teaching Certificate,"Explore Higher Education Teaching and its practices offered by Harvard’s Derek Bok Center for Teaching and Learning. Learn to create a collaborative, engaging learning environment.","$2,640",Harvard Kennedy School,9 weeks long,NA
https://pll.harvard.edu/course/stronger-together-dissociative-identity-disorder-past-present-and-future-1,Health & Medicine,https://pll.harvard.edu/subject/health-medicine,Online Live,"Stronger Together: Dissociative Identity Disorder Past, Present, and Future","Join us for this comprehensive two-day conference on September 20 and 21, 2024 that delves into the multifaceted world of Dissociative Identity Disorder (DID), a complex and often misunderstood psychiatric condition.",$325 - $425,Harvard Kennedy School,Self-paced,Starts Sep 18
https://pll.harvard.edu/course/sex-sexuality-and-gender-adulthood-case-studies,Health & Medicine,https://pll.harvard.edu/subject/health-medicine,Online Live,"Sex, Sexuality, and Gender in Adulthood: Case Studies","Clinicians and therapists commonly face questions from their mid-older adult patients about sex, sexuality and gender issues, and may feel under-prepared or not completely comfortable to satisfactorily address them.",$150 - $225,Harvard Kennedy School,Self-paced,Starts Sep 20
https://pll.harvard.edu/course/management-pancreatic-disorders-practicing-clinician-0,Health & Medicine,https://pll.harvard.edu/subject/health-medicine,Online Live,Management of Pancreatic Disorders for the Practicing Clinician,This program aims to provide current state of the art education on the diagnosis and management for pancreatic disorders for clinical providers.,$75 - $250,Harvard Kennedy School,Self-paced,Starts Sep 20
https://pll.harvard.edu/course/collaborative-co-teaching-engaging-learners-across-health-care-professions,Health & Medicine,https://pll.harvard.edu/subject/health-medicine,Online Live,Collaborative Co-Teaching: Engaging Learners across Health Care Professions,Learners will come away from this course with practical methods to start a Collaborative Co-Teaching initiative at their own institution.,$75 - $275,Harvard Kennedy School,Self-paced,Starts Sep 20
https://pll.harvard.edu/course/training-our-eyes-minds-and-hearts-visual-thinking-strategies-health-care-professionals,Health & Medicine,https://pll.harvard.edu/subject/health-medicine,Online Live,"Training our Eyes, Minds and Hearts: Visual Thinking Strategies for Health Care Professionals","This course, the first of its kind for CME, trains healthcare professionals at all levels to facilitate and apply Visual Thinking Strategies (VTS) techniques and mindsets in classrooms, meetings, clinics, and hospitals.","$3,555 - $3,850",Harvard Kennedy School,Self-paced,Starts Sep 21
https://pll.harvard.edu/course/strategic-marketing-driving-growth,Business,https://pll.harvard.edu/subject/business,In-Person,Strategic Marketing for Driving Growth,Boost customer value and business growth with integrated marketing strategies that blend proven paradigms and the latest innovations.,"$14,500",Harvard Kennedy School,6 days long,Starts Sep 22
https://pll.harvard.edu/course/leadership-law-firms,Business,https://pll.harvard.edu/subject/business,In-Person,Leadership in Law Firms,Develop the perspectives and skills necessary to be an effective law firm leader.,"$18,000 - $0",Harvard Kennedy School,6 days long,Starts Sep 22
https://pll.harvard.edu/course/measurement-design-and-analysis-methods-health-outcomes-research-1,Health & Medicine,https://pll.harvard.edu/subject/health-medicine,Online,"Measurement, Design, and Analysis Methods for Health Outcomes Research","You will learn to design, implement, and analyze health outcomes studies and understand the statistical methods used in this research.","$2,500",Harvard Kennedy School,Self-paced,NA
