Link,Institution,Name,Rating,Review,Duration,Spend time per week,Category,Type
https://www.futurelearn.com/courses/digital-marketing-strategy-creating-objectives-and-using-measurement-frameworks,The Open University & Target Internet,digital marketing strategy creating objectives and using measurement frameworks,NA,NA,2 weeks,4 hrs per week,NA,courses
https://www.futurelearn.com/courses/digital-marketing-strategy-developing-strategy-and-strategic-positioning,The Open University & Target Internet,digital marketing strategy developing strategy and strategic positioning,NA,NA,2 weeks,4 hrs per week,NA,courses
https://www.futurelearn.com/courses/digital-marketing-strategy-introduction-to-sostac-and-situational-analysis,The Open University & Target Internet,digital marketing strategy introduction to sostac and situational analysis,NA,NA,2 weeks,4 hrs per week,NA,courses
https://www.futurelearn.com/courses/digital-marketing-strategy-tactics-and-action,The Open University & Target Internet,digital marketing strategy tactics and action,NA,NA,2 weeks,4 hrs per week,NA,courses
https://www.futurelearn.com/courses/introduction-to-digital-marketing-content-marketing,The Open University & Target Internet,introduction to digital marketing content marketing,NA,NA,2 weeks,3 hrs per week,NA,courses
https://www.futurelearn.com/courses/introduction-to-digital-marketing-marketing-channel-objectives,The Open University & Target Internet,introduction to digital marketing marketing channel objectives,NA,NA,2 weeks,3 hrs per week,NA,courses
https://www.futurelearn.com/courses/digital-marketing-new-trends-and-technologies,Nottingham Business School & Nottingham Trent University,digital marketing new trends and technologies,NA,NA,3 weeks,2 hrs per week,Included in Unlimited,courses
https://www.futurelearn.com/courses/digital-politics,Manchester Metropolitan University,digital politics,4.3,(9 reviews),4 weeks,1 hr per week,Included in Unlimited,courses
https://www.futurelearn.com/courses/digital-skills-awareness-for-starting-higher-education,Bloomsbury Learning Exchange,digital skills awareness for starting higher education,NA,NA,3 weeks,3 hrs per week,Included in Unlimited,courses
https://www.futurelearn.com/courses/artificial-intelligence,Accenture,artificial intelligence,4.7,(1916 reviews),3 weeks,2 hrs per week,Free digital upgrade,courses
https://www.futurelearn.com/courses/digital-skills-digital-marketing,Accenture,digital skills digital marketing,4.7,(2589 reviews),2 weeks,3 hrs per week,Free digital upgrade,courses
https://www.futurelearn.com/courses/digital-skills-for-work-and-life,Accenture,digital skills for work and life,4.7,(993 reviews),2 weeks,2 hrs per week,Free digital upgrade,courses
https://www.futurelearn.com/courses/digital-skills,King's College London,digital skills,4.7,(264 reviews),4 weeks,3 hrs per week,Included in Unlimited,courses
https://www.futurelearn.com/courses/digital-skills-mobile,Accenture,digital skills mobile,4.6,(269 reviews),3 weeks,2 hrs per week,Free digital upgrade,courses
https://www.futurelearn.com/courses/digital-skills-reimagine-your-career,Accenture,digital skills reimagine your career,4.9,(120 reviews),3 weeks,2 hrs per week,Free digital upgrade,courses
https://www.futurelearn.com/courses/digital-skills-social-media,Accenture,digital skills social media,4.7,(1403 reviews),2 weeks,3 hrs per week,Free digital upgrade,courses
https://www.futurelearn.com/courses/digital-skills-user-experience,Accenture,digital skills user experience,4.8,(1411 reviews),3 weeks,2 hrs per week,Free digital upgrade,courses
https://www.futurelearn.com/courses/digital-skill-web-analytics,Accenture,digital skill web analytics,4.7,(61 reviews),3 weeks,2 hrs per week,Free digital upgrade,courses
https://www.futurelearn.com/courses/digital-clinical-trials,University of Southampton & NIHR - National Institute for Health Research,digital clinical trials,4.8,(10 reviews),4 weeks,2 hrs per week,Included in Unlimited,courses
https://www.futurelearn.com/courses/digital-wellbeing,University of York,digital wellbeing,4.6,(115 reviews),3 weeks,3 hrs per week,Included in Unlimited,courses
https://www.futurelearn.com/courses/chinese-drama-injustice-to-dou-e,National Yang Ming Chiao Tung University (NYCU) & National Chengchi University,chinese drama injustice to dou e,4.3,(21 reviews),4 weeks,1 hr per week,Included in Unlimited,courses
https://www.futurelearn.com/courses/discover-dentistry,The University of Sheffield,discover dentistry,4.9,(252 reviews),6 weeks,3 hrs per week,Included in Unlimited,courses
https://www.futurelearn.com/courses/discover-the-hidden-history-of-york,University of York,discover the hidden history of york,3.5,(150 reviews),3 weeks,4 hrs per week,Included in Unlimited,courses
https://www.futurelearn.com/courses/discovering-korean-music-the-spectrum-of-sound,Hanyang University,discovering korean music the spectrum of sound,NA,NA,6 weeks,1 hr per week,Included in Unlimited,courses
https://www.futurelearn.com/courses/discovering-science-atmospheric-chemistry,University of Leeds,discovering science atmospheric chemistry,4.7,(12 reviews),2 weeks,5 hrs per week,Included in Unlimited,courses
https://www.futurelearn.com/courses/discovering-science-chemical-products,University of Leeds,discovering science chemical products,4.5,(23 reviews),2 weeks,5 hrs per week,Included in Unlimited,courses
https://www.futurelearn.com/courses/discovering-science-global-challenges,University of Leeds,discovering science global challenges,4,(5 reviews),2 weeks,5 hrs per week,Included in Unlimited,courses
https://www.futurelearn.com/courses/discovering-science-medicinal-chemistry,University of Leeds,discovering science medicinal chemistry,4.6,(38 reviews),2 weeks,5 hrs per week,Included in Unlimited,courses
https://www.futurelearn.com/courses/discovering-science-science-writing,University of Leeds,discovering science science writing,4.7,(48 reviews),2 weeks,5 hrs per week,Included in Unlimited,courses
https://www.futurelearn.com/courses/research-question,University of Leicester,research question,4.9,(108 reviews),5 weeks,2 hrs per week,Included in Unlimited,courses
https://www.futurelearn.com/courses/diseno-del-programa-para-ninos-vinculados-a-fuerzas-y-grupos-armados,The Alliance for Child Protection in Humanitarian Action,diseno del programa para ninos vinculados a fuerzas y grupos armados,NA,NA,6 weeks,3 hrs per week,Free digital upgrade,courses
https://www.futurelearn.com/courses/disease-outbreaks,London School of Hygiene & Tropical Medicine,disease outbreaks,4.8,(73 reviews),3 weeks,4 hrs per week,Included in Unlimited,courses
https://www.futurelearn.com/courses/distribution-networks-and-sustainability-et,Coventry University,distribution networks and sustainability et,NA,NA,2 weeks,5 hrs per week,NA,courses
https://www.futurelearn.com/courses/diverse-routes-into-higher-education,University of York,diverse routes into higher education,NA,NA,2 weeks,4 hrs per week,Included in Unlimited,courses
https://www.futurelearn.com/courses/diversity-and-inclusion-in-the-built-environment,Chartered Institute of Building (CIOB),diversity and inclusion in the built environment,NA,NA,3 weeks,2 hrs per week,Included in Unlimited,courses
https://www.futurelearn.com/courses/divisional-performance-sc,Coventry University,divisional performance sc,NA,NA,2 weeks,5 hrs per week,Included in Unlimited,courses
https://www.futurelearn.com/courses/doing-business-in-conflict-zones,FutureLearn,doing business in conflict zones,NA,NA,3 weeks,5 hrs per week,NA,courses
https://www.futurelearn.com/courses/doing-business-in-web3,"RMIT University, RMIT Blockchain Innovation Hub & RMIT University Digital3",doing business in web3,NA,NA,6 weeks,4 hrs per week,Included in Unlimited,courses
https://www.futurelearn.com/courses/doing-good-in-a-conflict-zone,FutureLearn,doing good in a conflict zone,NA,NA,3 weeks,5 hrs per week,NA,courses
https://www.futurelearn.com/courses/drafting-commercial-contracts,College of Law,drafting commercial contracts,4.7,(241 reviews),4 weeks,2 hrs per week,Included in Unlimited,courses
https://www.futurelearn.com/courses/drive-success-with-project-management-essentials,Aberystwyth University,drive success with project management essentials,NA,NA,4 weeks,4 hrs per week,Included in Unlimited,courses
https://www.futurelearn.com/courses/drug-use-and-harm-reduction,"London School of Hygiene & Tropical Medicine, Médecins du Monde & International Network of People who Use Drugs (INPUD)",drug use and harm reduction,4.8,(89 reviews),3 weeks,3 hrs per week,Free digital upgrade,courses
https://www.futurelearn.com/courses/drugs-peace-and-development-rethinking-policy,SOAS University of London,drugs peace and development rethinking policy,4.2,(5 reviews),5 weeks,2 hrs per week,Included in Unlimited,courses
https://www.futurelearn.com/courses/due-diligence-in-mineral-value-chains,EIT RawMaterials,due diligence in mineral value chains,NA,NA,4 weeks,2 hrs per week,Included in Unlimited,courses
https://www.futurelearn.com/courses/dying-well-the-role-of-palliative-care-and-sedation-in-end-of-life-care,Lancaster University,dying well the role of palliative care and sedation in end of life care,4.7,(32 reviews),3 weeks,3 hrs per week,Included in Unlimited,courses
https://www.futurelearn.com/courses/customer-engagement-for-sales-sc,"CloudSwyft Global Systems, Inc.",customer engagement for sales sc,NA,NA,3 weeks,5 hrs per week,Included in Unlimited,courses
https://www.futurelearn.com/courses/cloudswyft-msft-dynamics-365-implementing-power-platform-int-sc,"CloudSwyft Global Systems, Inc.",cloudswyft msft dynamics 365 implementing power platform int sc,NA,NA,3 weeks,5 hrs per week,Included in Unlimited,courses
https://www.futurelearn.com/courses/cloudswyft-msft-dynamics-365-testing-and-deploying-power-platform-app-sc,"CloudSwyft Global Systems, Inc.",cloudswyft msft dynamics 365 testing and deploying power platform app sc,NA,NA,2 weeks,5 hrs per week,Included in Unlimited,courses
https://www.futurelearn.com/courses/cloudswyft-msft-dynamics-365-using-power-platform-ap-sc,"CloudSwyft Global Systems, Inc.",cloudswyft msft dynamics 365 using power platform ap sc,NA,NA,4 weeks,5 hrs per week,Included in Unlimited,courses
https://www.futurelearn.com/courses/cloudswyft-msft-dynamics-365-power-platform-auto-sc,"CloudSwyft Global Systems, Inc.",cloudswyft msft dynamics 365 power platform auto sc,NA,NA,3 weeks,5 hrs per week,Included in Unlimited,courses
https://www.futurelearn.com/courses/dyslexia,Lancaster University,dyslexia,4.8,(223 reviews),4 weeks,4 hrs per week,Included in Unlimited,courses
https://www.futurelearn.com/courses/dysphagia,UEA (University of East Anglia),dysphagia,4.7,(44 reviews),6 weeks,2 hrs per week,Included in Unlimited,courses
https://www.futurelearn.com/courses/intro-to-quantum-computing-j,Keio University,intro to quantum computing j,NA,NA,4 weeks,5 hrs per week,Included in Unlimited,courses
https://www.futurelearn.com/courses/ems-palaeography,The University of Glasgow,ems palaeography,4.8,(171 reviews),3 weeks,3 hrs per week,Included in Unlimited,courses
https://www.futurelearn.com/courses/earth-and-life,FutureLearn,earth and life,NA,NA,3 weeks,3 hrs per week,NA,courses
https://www.futurelearn.com/courses/e-bug-health-educator-training,BSAC & UK Health Security Agency,e bug health educator training,4.8,(60 reviews),3 weeks,2 hrs per week,Included in Unlimited,courses
https://www.futurelearn.com/courses/ecg-assessment,"St George's, University of London & Kingston and St George's Faculty of Health, Social Care and Education",ecg assessment,4.7,(414 reviews),2 weeks,2 hrs per week,Included in Unlimited,courses
https://www.futurelearn.com/courses/ecology-and-wildlife-conservation,University of Leeds,ecology and wildlife conservation,4.6,(293 reviews),2 weeks,2 hrs per week,Included in Unlimited,courses
https://www.futurelearn.com/courses/ecopedagogy-for-beginners-putting-climate-change-education-into-action,The University of Glasgow,ecopedagogy for beginners putting climate change education into action,NA,NA,4 weeks,3 hrs per week,Included in Unlimited,courses
https://www.futurelearn.com/courses/why-edi-foundations-of-equality-diversity-and-inclusion,University of Lincoln,why edi foundations of equality diversity and inclusion,4.9,(15 reviews),4 weeks,3 hrs per week,Included in Unlimited,courses
https://www.futurelearn.com/courses/educating-for-sustainable-development-in-schools-and-universities,UCL (University College London),educating for sustainable development in schools and universities,4.9,(16 reviews),3 weeks,3 hrs per week,Included in Unlimited,courses
https://www.futurelearn.com/courses/finding-and-reading-research,University of Birmingham & Chartered College of Teaching,finding and reading research,4.8,(38 reviews),4 weeks,3 hrs per week,Included in Unlimited,courses
https://www.futurelearn.com/courses/research-in-learning-communities,University of Birmingham & Chartered College of Teaching,research in learning communities,5,(21 reviews),4 weeks,3 hrs per week,Included in Unlimited,courses
https://www.futurelearn.com/courses/ways-of-researching,University of Birmingham & Chartered College of Teaching,ways of researching,4.8,(36 reviews),4 weeks,3 hrs per week,Included in Unlimited,courses
https://www.futurelearn.com/courses/eduweight,The University of Melbourne,eduweight,4.6,(13 reviews),6 weeks,6 hrs per week,Included in Unlimited,courses
