Link,Course name,Course code,school,location,status
https://online.stanford.edu/courses/cs168-modern-algorithmic-toolbox,The Modern Algorithmic Toolbox,CS168,Stanford School of Engineering,NA ,NA 
https://online.stanford.edu/courses/sohs-ymusic0005-new-world-arnold-schonbergs-piano-music,The New World of Arnold Schönberg's Piano Music,SOHS-YMUSIC0005,Stanford School of Humanities and Sciences,"Online, self-paced, EdX",Enrollment Open
https://online.stanford.edu/courses/xldr217-power-stories-fuel-innovation,The Power of Stories to Fuel Innovation,XLDR217,Stanford School of Engineering,"Online, self-paced",Enrollment Open
https://online.stanford.edu/courses/csp-xpol69-power-us-dollar,The Power of the US Dollar,CSP-XPOL69,Stanford Continuing Studies,"Online, instructor-led",Enrollment Open
https://online.stanford.edu/courses/csp-xlaw05z-right-vote-and-law-us-democracy,The Right to Vote and the Law of US Democracy,CSP-XLAW05Z,Stanford Continuing Studies,"Online, instructor-led",Enrollment Open
https://online.stanford.edu/courses/xeiet120-role-water-and-energy-circular-economies,The Role of Water and Energy for Circular Economies,XEIET120,"Stanford School of Engineering, Stanford Doerr School of Sustainability","Online, self-paced",Enrollment Open
https://online.stanford.edu/courses/me349-science-and-practice-metal-3d-printing,The Science and the Practice of Metal 3D Printing,ME349,Stanford School of Engineering,NA ,NA 
https://online.stanford.edu/courses/mse178-spirit-entrepreneurship,The Spirit of Entrepreneurship,MS&E178,Stanford School of Engineering,NA ,NA 
https://online.stanford.edu/courses/fsi-y0001-threat-nuclear-terrorism,The Threat of Nuclear Terrorism,FSI-Y0001,,"Online, self-paced, EdX",Enrollment Open
https://online.stanford.edu/courses/stats116-theory-probability,Theory of Probability,STATS116,Stanford School of Humanities and Sciences,NA ,NA 
https://online.stanford.edu/courses/stats118-theory-probability-ii,Theory of Probability II,STATS118,Stanford School of Humanities and Sciences,NA ,NA 
